mp_rgb_img,left_hand_skel_data,right_hand_skel_data,nuitrack_rgb_image,nuitrack_skel_data
,1703220136.827124,1703220136.828458,,1703220136.8529513
,1703220136.8609405,1703220136.8609295,,1703220136.8880157
,1703220136.8976476,1703220136.8977256,,1703220136.8918576
,1703220136.9283817,1703220136.9284835,,1703220136.9244528
,1703220136.9547298,1703220136.9549596,,1703220136.9586384
,1703220136.9950633,1703220136.995044,,1703220136.9912338
,1703220137.0295885,1703220137.0297444,,1703220137.023021
,1703220137.058237,1703220137.0582287,,1703220137.0874496
,1703220137.0973182,1703220137.097327,,1703220137.0915911
,1703220137.1225328,1703220137.1225324,,1703220137.1532347
,1703220137.161081,1703220137.1610723,,1703220137.1574318
,1703220137.1954184,1703220137.1954536,,1703220137.1913033
,1703220137.2296486,1703220137.229603,,1703220137.224135
,1703220137.255104,1703220137.2550957,,1703220137.287984
,1703220137.2953749,1703220137.2955859,,1703220137.2919233
,1703220137.3267705,1703220137.3267572,,1703220137.3874285
,1703220137.3694541,1703220137.3734224,,1703220137.4294248
,1703220137.4134254,1703220137.421474,,1703220137.4734416
,1703220137.461433,1703220137.4214914,,1703220137.4734523
,1703220137.461441,1703220137.465443,,1703220137.5214255
,1703220137.5094237,1703220137.493258,,1703220137.5246103
,1703220137.5204384,1703220137.533441,,1703220137.565447
,1703220137.5614486,1703220137.5774102,,1703220137.6134114
,1703220137.6054554,1703220137.6254106,,1703220137.657443
,1703220137.6494482,1703220137.6694572,,1703220137.7204263
,1703220137.6934383,1703220137.6694658,,1703220137.7614145
,1703220137.7374563,1703220137.7134182,,1703220137.8094795
,1703220137.737472,1703220137.7295682,,1703220137.8094883
,1703220137.7814317,1703220137.7734828,,1703220137.855817
,1703220137.7936966,1703220137.8174512,,1703220137.8876984
,1703220137.837438,1703220137.8614187,,1703220137.9334512
,1703220137.8854516,1703220137.9054253,,1703220137.9774334
,1703220137.933473,1703220137.9054313,,1703220138.021459
,1703220137.933479,1703220137.9494414,,1703220138.0214741
,1703220137.9884264,1703220137.988412,,1703220138.0694578
,1703220138.0282717,1703220138.0294347,,1703220138.0871005
,1703220138.0734222,1703220138.0734282,,1703220138.129446
,1703220138.1174603,1703220138.1174474,,1703220138.1294568
,1703220138.1614518,1703220138.1614506,,1703220138.1920192
,1703220138.205479,1703220138.2054825,,1703220138.1937213
,1703220138.205518,1703220138.2055016,,1703220138.2549841
,1703220138.2534754,1703220138.2534878,,1703220138.3014586
,1703220138.2627113,1703220138.2612991,,1703220138.3454585
,1703220138.3054497,1703220138.305438,,1703220138.3894653
,1703220138.3535109,1703220138.353522,,1703220138.3894794
,1703220138.3974755,1703220138.3974721,,1703220138.4374428
,1703220138.3974893,1703220138.3974912,,1703220138.5219047
,1703220138.441436,1703220138.4414446,,1703220138.5694587
,1703220138.4636374,1703220138.4636269,,1703220138.6134176
,1703220138.5054665,1703220138.5094368,,1703220138.6134276
,1703220138.549453,1703220138.553435,,1703220138.6897361
,1703220138.5974705,1703220138.5974627,,1703220138.7233338
,1703220138.6414344,1703220138.6414392,,1703220138.7694473
,1703220138.641444,1703220138.6414452,,1703220138.8134105
,1703220138.6854866,1703220138.6854942,,1703220138.813419
,1703220138.6966279,1703220138.6957524,,1703220138.857441
,1703220138.7414205,1703220138.7374313,,1703220138.8894615
,1703220138.7894454,1703220138.7814212,,1703220138.929446
,1703220138.8335009,1703220138.829444,,1703220138.9294548
,1703220138.833516,1703220138.8734634,,1703220138.9904537
,1703220138.8774388,1703220138.873481,,1703220139.0242984
,1703220138.896726,1703220138.917439,,1703220139.0654554
,1703220138.9374619,1703220138.9296536,,1703220139.1229608
,1703220138.9814198,1703220138.973448,,1703220139.1654706
,1703220139.025426,1703220139.0174394,,1703220139.1654866
,1703220139.0254304,1703220139.0654438,,1703220139.2555125
,1703220139.069435,1703220139.065452,,1703220139.2595491
,1703220139.095693,1703220139.1094882,,1703220139.3014615
,1703220139.1374717,1703220139.1283073,,1703220139.3454363
,1703220139.181414,1703220139.16944,,1703220139.389444
,1703220139.2254667,1703220139.213413,,1703220139.4334676
,1703220139.2694552,1703220139.2574306,,1703220139.43348
,1703220139.2694678,1703220139.3014612,,1703220139.4908097
,1703220139.3134127,1703220139.3014803,,1703220139.5235398
,1703220139.330084,1703220139.345427,,1703220139.5654428
,1703220139.3734703,1703220139.3654253,,1703220139.5654535
,1703220139.4174254,1703220139.4134207,,1703220139.6234977
,1703220139.461414,1703220139.4574335,,1703220139.6558979
,1703220139.5094342,1703220139.501542,,1703220139.697455
,1703220139.5094488,1703220139.5015626,,1703220139.7454104
,1703220139.557441,1703220139.5454268,,1703220139.7454197
,1703220139.5611134,1703220139.561351,,1703220139.7894473
,1703220139.6014602,1703220139.6014524,,1703220139.7908099
,1703220139.6494122,1703220139.64942,,1703220139.8584461
,1703220139.6974475,1703220139.6934173,,1703220139.9014695
,1703220139.6974556,1703220139.7374544,,1703220139.9454138
,1703220139.7414985,1703220139.7374642,,1703220139.9454231
,1703220139.7606242,1703220139.78142,,1703220139.989453
,1703220139.8014421,1703220139.7942939,,1703220139.994798
,1703220139.8454106,1703220139.8414474,,1703220140.0374198
,1703220139.8894417,1703220139.885437,,1703220140.0919054
,1703220139.9334543,1703220139.9299855,,1703220140.1374505
,1703220139.9334662,1703220139.929996,,1703220140.1374636
,1703220139.9774206,1703220139.9734561,,1703220140.191945
,1703220139.9946802,1703220139.9961796,,1703220140.223921
,1703220140.0414329,1703220140.0374303,,1703220140.2654383
,1703220140.085428,1703220140.0854416,,1703220140.3094647
,1703220140.1294515,1703220140.1294668,,1703220140.3534818
,1703220140.1294637,1703220140.1294956,,1703220140.3974218
,1703220140.1734762,1703220140.1734853,,1703220140.3974307
,1703220140.2003639,1703220140.1987855,,1703220140.3974361
,1703220140.2454169,1703220140.2414515,,1703220140.4414287
,1703220140.289427,1703220140.285421,,1703220140.4922817
,1703220140.333441,1703220140.3294325,,1703220140.5334253
,1703220140.3334486,1703220140.3294413,,1703220140.5334332
,1703220140.3774924,1703220140.377477,,1703220140.5909781
,1703220140.3970494,1703220140.3987043,,1703220140.5949154
,1703220140.4374464,1703220140.4414356,,1703220140.6567097
,1703220140.4854462,1703220140.48948,,1703220140.7015257
,1703220140.529428,1703220140.5334387,,1703220140.7015393
,1703220140.5294373,1703220140.577431,,1703220140.7454824
,1703220140.573474,1703220140.6254432,,1703220140.761126
,1703220140.5734882,1703220140.6694515,,1703220140.801417
,1703220140.6174202,1703220140.6694636,,1703220140.857496
,1703220140.6304722,1703220140.717428,,1703220140.9014714
,1703220140.6774507,1703220140.7313998,,1703220140.9454286
,1703220140.725429,1703220140.7735167,,1703220140.9454408
,1703220140.773485,1703220140.8174336,,1703220140.989481
,1703220140.7735002,1703220140.865444,,1703220141.0243642
,1703220140.8174257,1703220140.8654547,,1703220141.0654447
,1703220140.8336058,1703220140.930946,,1703220141.1134217
,1703220140.881443,1703220140.9605157,,1703220141.1134338
,1703220140.9306614,1703220141.0014565,,1703220141.1574783
